pool_id,arm,agents,trial,context_usd,task_usd,comm_usd,rework_usd
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,2,1,1.0503,0.9773,1.1723,0.2029
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,2,2,1.4557,2.2308,0.4141,0.2850
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,2,3,0.9724,1.2452,1.7292,0.0897
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,2,4,1.0972,2.2037,1.1289,0.0691
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,1,1,0.4808,0.1009,0.0000,0.0000
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,1,2,0.5665,0.2129,0.0000,0.0000
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,1,3,0.4443,0.1311,0.0000,0.0000
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,1,4,0.6992,0.4474,0.0000,0.0000
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,2,1,1.2912,0.8957,0.1950,0.1275
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,2,2,0.9980,0.8828,0.4067,0.1290
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,2,3,1.1587,0.4217,0.2738,0.1644
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,2,4,1.0038,0.4242,0.1920,0.1715
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,3,1,1.8767,1.5618,1.1889,0.0144
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,3,2,1.2710,1.3176,0.9855,0.1202
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,3,3,2.4182,2.6758,0.3384,0.4971
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,3,4,1.5931,1.6498,1.8274,0.0131
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,3,1,2.4635,1.5038,1.5090,0.7859
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,3,2,1.7710,1.0019,1.0980,0.2518
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,3,3,1.9908,0.9462,1.0770,0.4161
dottxt_ai_outlines_task/task1371/f1_f2_f3,flat,3,4,1.8886,1.8673,0.8035,0.5484
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,4,1,3.6142,5.8266,0.8084,0.3395
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,4,2,2.8010,3.8776,0.8387,0.0034
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,4,3,2.4194,2.5398,3.3200,0.2546
dottxt_ai_outlines_task/task1371/f1_f2_f3,leader,4,4,2.2254,2.8960,2.7750,0.5652
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,2,1,0.7937,0.4686,0.0489,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,2,2,0.5951,0.4885,0.0280,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,2,3,0.5913,0.2778,0.1459,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,2,4,0.5805,0.4373,0.1267,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,1,1,0.1483,0.0287,0.0000,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,1,2,0.1160,0.0027,0.0000,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,1,3,0.1746,0.0202,0.0000,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,1,4,0.0939,0.0019,0.0000,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,2,1,0.5204,0.1937,0.0474,0.0268
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,2,2,0.3748,0.1001,0.0124,0.0352
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,2,3,0.5024,0.2264,0.0503,0.0225
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,2,4,0.4276,0.1503,0.0403,0.0246
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,3,1,1.0210,0.4567,0.0315,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,3,2,1.0141,0.6137,0.0618,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,3,3,0.9746,0.6048,0.0572,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,3,4,1.0769,0.6748,0.0766,0.0000
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,3,1,0.7223,0.3451,0.0756,0.1260
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,3,2,0.6512,0.2219,0.0434,0.0013
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,3,3,0.7712,0.3043,0.0567,0.0019
dottxt_ai_outlines_task/task1655/f2_f4_f5,flat,3,4,0.6397,0.3344,0.1071,0.0916
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,4,1,1.4156,1.1330,0.3412,0.0069
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,4,2,1.6666,0.8812,0.0645,0.0027
dottxt_ai_outlines_task/task1655/f2_f4_f5,leader,4,3,1.1416,0.7988,0.3908,0.0849
