run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1655,f6_f7,6,7,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,True,84,0,,142.262648,0.6248376,26,Submitted,15,0.3846654,30,5403,564468,22365,20,Submitted,11,0.24017219999999997,22,2988,398954,12600,15,3,2,634,1,240,,,,,,,,,,,,,,,,2026-07-16T20:35:54.455058,flash_msg_2/coop/dottxt_ai_outlines_task/1655/f6_f7,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;agent7.patch;agent7_traj.json;conversation.json;eval.json;result.json
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1655,f7_f10,7,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,True,80,0,,156.949976,0.4855827,24,Submitted,14,0.2936334,28,3652,515258,14032,16,Submitted,10,0.1919493,18,2418,314571,10209,11,4,2,517,2,282,,,,,,,,,,,,,,,,2026-07-16T20:35:58.889972,flash_msg_2/coop/dottxt_ai_outlines_task/1655/f7_f10,13,agent10.patch;agent10_traj.json;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent7.patch;agent7_traj.json;conversation.json;eval.json;result.json
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1706,f4_f6,4,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,7,2,,False,0,11,,174.481117,0.4421682,19,Submitted,9,0.2189016,16,1961,280942,17526,53,Submitted,10,0.2232666,18,3287,324412,12764,97,4,2,324,2,588,,,,,,,,,,,,,,,,2026-07-16T20:28:31.953599,flash_msg_2/coop/dottxt_ai_outlines_task/1706/f4_f6,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1706,f5_f8,5,8,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,5,6,,False,7,3,,351.037106,1.1218047,45,Submitted,28,0.7378722,50,12316,1181414,33093,248,Submitted,17,0.38393250000000007,26,7157,515845,20291,204,4,2,1272,2,958,,,,,,,,,,,,,,,,2026-07-16T20:31:56.815317,flash_msg_2/coop/dottxt_ai_outlines_task/1706/f5_f8,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,dspy_task,8394,f3_f4,3,4,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,True,14,0,,463.166953,1.3338486,51,Submitted,20,0.4906982999999999,38,7866,808441,21677,140,Submitted,31,0.8431503,54,11276,1403161,42150,160,4,2,737,2,1270,,,,,,,,,,,,,,,,2026-07-16T20:39:46.465945,flash_msg_2/coop/dspy_task/8394/f3_f4,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent4.patch;agent4_traj.json;conversation.json;eval.json;result.json
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,False,11,1,,558.931855,1.6337586,65,Submitted,28,0.610455,54,8098,1206990,21121,128,Submitted,37,1.0233036,72,17311,1819542,36260,185,5,3,1281,2,768,,,,,,,,,,,,,,,,2026-07-16T20:42:40.416565,flash_msg_2/coop/dspy_task/8394/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,go_chi_task,26,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,2,0,,False,0,0,,288.211486,1.0172079,52,Submitted,24,0.4401399000000001,44,4303,833563,20899,66,Submitted,28,0.577068,52,6815,1043310,26949,208,4,2,870,2,920,,,,,,,,,,,,,,,,2026-07-16T20:39:46.451202,flash_msg_2/coop/go_chi_task/26/f1_f2,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,go_chi_task,56,f1_f5,1,5,True,applied,applied,clean,naive,True,False,functional_fail,False,0,4,True,2,0,False,0,4,,True,2,0,,374.150916,2.4370928999999997,59,Submitted,32,1.1666166,60,17292,1916422,55355,196,Submitted,27,1.2704763,48,26415,1678711,61749,216,5,2,1049,3,1656,,,,,,,,,,,,,,,,2026-07-16T20:44:58.107219,flash_msg_2/coop/go_chi_task/56/f1_f5,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,huggingface_datasets_task,3997,f2_f4,2,4,True,applied,applied,clean,naive,True,False,functional_fail,False,25,1,False,25,1,False,25,1,,False,25,1,,236.084098,0.7038074999999999,33,Submitted,15,0.29598389999999997,26,3746,456733,17116,52,Submitted,18,0.40782359999999995,36,4527,676722,22799,42,4,2,471,2,379,,,,,,,,,,,,,,,,2026-07-16T20:43:23.943463,flash_msg_2/coop/huggingface_datasets_task/3997/f2_f4,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent4.patch;agent4_traj.json;conversation.json;eval.json;result.json
flash_msg_2,flash_msg,2,coop_nogit,claude-sonnet-5,claude_code,coop,free,,huggingface_datasets_task,6252,f4_f6,4,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,42,2,,False,42,2,,180.990456,0.5844399,25,Submitted,14,0.3187926,22,3395,429712,23148,40,Submitted,11,0.26564730000000003,22,1991,404801,19046,14,5,2,589,3,742,,,,,,,,,,,,,,,,2026-07-16T20:47:23.443851,flash_msg_2/coop/huggingface_datasets_task/6252/f4_f6,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
