run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,14,0,,False,0,0,,178.195352,0.5363868,21,Submitted,8,0.2608665,2997,5081,283995,15077,191,Submitted,13,0.2755203,3007,3713,466121,11828,57,0,,,,,,,,,,,,,,,,,,,,2026-07-02T23:21:37.825643,nano_control_1/coop/dottxt_ai_outlines_task/1371/f1_f2,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,86,2,,False,0,0,,150.068618,0.27674669999999996,13,Submitted,7,0.14891519999999997,2866,1983,226014,7128,14,Submitted,6,0.1278315,2864,1585,193235,6249,11,0,,,,,,,,,,,,,,,,,,,,2026-07-02T23:21:03.673621,nano_control_1/coop/dottxt_ai_outlines_task/1655/f8_f10,12,agent10.patch;agent10_traj.json;agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,False,11,1,,1037.377723,1.1206482000000002,40,Submitted,17,0.41237370000000007,4993,6660,630889,18038,122,Submitted,23,0.7082745000000001,4147,14019,1025915,29629,180,0,,,,,,,,,,,,,,,,,,,,2026-07-02T23:27:55.039653,nano_control_1/coop/dspy_task/8394/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,869.038055,0.990183,39,Submitted,17,0.4158585,3821,5742,672765,19406,85,Submitted,22,0.5743245,3441,8319,953415,25532,150,0,,,,,,,,,,,,,,,,,,,,2026-07-02T23:22:58.812062,nano_control_1/coop/dspy_task/8587/f4_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,185.942931,0.7433184,31,Submitted,20,0.518181,3150,8024,852430,22107,135,Submitted,11,0.22513740000000002,3003,3180,365728,9785,58,0,,,,,,,,,,,,,,,,,,,,2026-07-03T07:15:34.749144,nano_control_1/coop/dspy_task/8635/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,26,0,,True,27,0,,196.485537,0.5289284999999999,24,Submitted,10,0.26381699999999997,3001,4341,355510,13841,93,Submitted,14,0.2651115,3009,3993,465565,9420,33,0,,,,,,,,,,,,,,,,,,,,2026-07-02T23:27:52.389125,nano_control_1/coop/huggingface_datasets_task/3997/f1_f5,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,200.203139,0.4604484,12,Submitted,5,0.1830885,2862,1001,165725,18295,19,Submitted,7,0.2773599,2866,3860,255793,22354,67,0,,,,,,,,,,,,,,,,,,,,2026-07-03T07:15:23.696091,nano_control_1/coop/llama_index_task/17070/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,184.792108,0.6239939999999999,26,Submitted,13,0.3251226,3007,3964,457892,19879,47,Submitted,13,0.2988714,3007,3652,442668,17045,33,0,,,,,,,,,,,,,,,,,,,,2026-07-02T23:31:55.853573,nano_control_1/coop/llama_index_task/17244/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,204.121697,0.48388169999999997,22,Submitted,10,0.19915709999999998,3001,1795,333837,10513,64,Submitted,12,0.2847246,3005,3079,411422,17683,60,0,,,,,,,,,,,,,,,,,,,,2026-07-02T23:32:43.031074,nano_control_1/coop/llama_index_task/18813/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,174.91504,0.4549218,11,Submitted,5,0.23343779999999997,2862,3800,166046,19673,57,Submitted,6,0.22148400000000001,2864,2206,206700,19632,50,0,,,,,,,,,,,,,,,,,,,,2026-07-02T23:35:03.464565,nano_control_1/coop/openai_tiktoken_task/0/f2_f6,12,agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,68,0,,True,72,0,,255.550476,1.2595706999999998,43,Submitted,29,0.7199846999999999,3297,7690,1341439,32052,121,Submitted,14,0.539586,3138,7835,663250,35612,133,0,,,,,,,,,,,,,,,,,,,,2026-07-02T23:36:02.389688,nano_control_1/coop/pallets_click_task/2068/f1_f6,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
