run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,14,0,,True,20,0,,146.077104,0.6718161,24,Submitted,8,0.279501,2997,5753,285370,16434,193,Submitted,16,0.39231509999999997,3142,4882,640777,19571,79,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:06:34.331419,nano_control_10/coop/dottxt_ai_outlines_task/1371/f1_f2,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,88,0,,True,80,0,,94.21465,0.2499588,11,Submitted,6,0.1311864,2864,1231,189578,7876,12,Submitted,5,0.1187724,2862,1144,157308,7639,11,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:04:17.356358,nano_control_10/coop/dottxt_ai_outlines_task/1655/f8_f10,12,agent10.patch;agent10_traj.json;agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,False,11,1,,854.419488,1.4734971,51,Submitted,27,0.7032419999999999,4664,7566,1068180,42551,133,Submitted,24,0.7702551,4049,11069,1006637,48347,192,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:08:47.050257,nano_control_10/coop/dspy_task/8394/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,611.741475,1.4342574000000001,39,Submitted,14,0.35928449999999995,3009,5311,545075,17845,84,Submitted,25,1.0749729000000001,3573,15001,1247323,77507,158,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:06:34.343521,nano_control_10/coop/dspy_task/8587/f4_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8635,f1_f3,1,3,True,applied,applied,clean,naive,True,False,functional_fail,True,7,0,False,4,1,True,7,0,,False,4,1,,299.699016,0.8485911,33,Submitted,23,0.6349536,3285,7327,1057592,32986,139,Submitted,10,0.21363750000000004,3001,2733,331705,10688,60,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:10:14.857192,nano_control_10/coop/dspy_task/8635/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,26,0,,True,27,0,,121.090064,0.6031251,28,Submitted,13,0.28848239999999997,3007,3023,476688,15185,73,Submitted,15,0.31464269999999994,3140,5055,515359,12465,32,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:09:36.143131,nano_control_10/coop/huggingface_datasets_task/3997/f1_f5,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,184.489425,0.6250572,19,Submitted,12,0.3642105,3005,3799,504355,24484,30,Submitted,7,0.2608467,2866,4477,264019,17648,70,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:12:52.816340,nano_control_10/coop/llama_index_task/17070/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,168.447713,0.44844209999999995,20,Submitted,13,0.29437499999999994,3007,4441,456510,13631,44,Submitted,7,0.15406709999999998,2866,1774,223657,8627,36,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:12:18.113968,nano_control_10/coop/llama_index_task/17244/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,176.427248,0.5099243999999999,24,Submitted,13,0.2603871,3007,2843,449817,12296,64,Submitted,11,0.2495373,3003,2859,387451,13568,60,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:14:49.536172,nano_control_10/coop/llama_index_task/18813/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,192.153173,0.5619512999999999,14,Submitted,8,0.36886349999999996,2997,8742,314795,22384,93,Submitted,6,0.1930878,2864,2312,212606,14339,48,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:15:53.772309,nano_control_10/coop/openai_tiktoken_task/0/f2_f6,12,agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,claude_code,coop,,,pallets_click_task,2068,f1_f6,1,6,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,87.589969,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T15:16:31.073012,nano_control_10/coop/pallets_click_task/2068/f1_f6,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
