run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,not_computable_locally,False,0,0,not_computable_locally,117.389363,0.5871885,22,Submitted,10,0.3038796,3001,5756,367162,16398,201,Submitted,12,0.2833089,3005,4119,432783,13779,57,0,,,,,,,,,,,,,,,,,,,,2026-07-03T03:46:42.114541,nano_control_4/coop/dottxt_ai_outlines_task/1371/f1_f2,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,not_computable_locally,False,0,0,not_computable_locally,87.299258,0.2657982,12,Submitted,6,0.1325988,2864,1280,189596,7988,13,Submitted,6,0.1331994,2864,1257,192048,8023,11,0,,,,,,,,,,,,,,,,,,,,2026-07-03T03:45:06.187965,nano_control_4/coop/dottxt_ai_outlines_task/1655/f8_f10,12,agent10.patch;agent10_traj.json;agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,True,15,0,,286.140551,0.8436393,29,Submitted,15,0.39021089999999997,3138,6547,554493,19374,142,Submitted,14,0.45342839999999995,3007,9387,541588,23521,208,0,,,,,,,,,,,,,,,,,,,,2026-07-03T07:34:54.365147,nano_control_4/coop/dspy_task/8394/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,754.690591,2.0457147,46,Submitted,14,0.3985974,3009,6646,557888,20419,80,Submitted,32,1.6471173000000001,3729,38459,2162791,68368,150,0,,,,,,,,,,,,,,,,,,,,2026-07-03T03:50:58.369708,nano_control_4/coop/dspy_task/8587/f4_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8635,f1_f3,1,3,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,120.106836,0,0,Error,0,0,0,0,0,0,0,Error,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T07:34:05.660492,nano_control_4/coop/dspy_task/8635/f1_f3,8,agent1.patch;agent1_traj.json;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,26,0,,True,27,0,,286.313712,0.603852,26,Submitted,15,0.3502746,3140,4038,570822,18173,73,Submitted,11,0.2535774,3003,4604,367208,10891,39,0,,,,,,,,,,,,,,,,,,,,2026-07-03T03:48:08.698270,nano_control_4/coop/huggingface_datasets_task/3997/f1_f5,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,117.311588,0.5980992,19,Submitted,12,0.3545631,3005,4321,484897,22544,19,Submitted,7,0.24353609999999998,2866,3658,261507,16936,68,0,,,,,,,,,,,,,,,,,,,,2026-07-03T03:51:01.417581,nano_control_4/coop/llama_index_task/17070/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,220.962718,0.5354639999999999,25,Submitted,14,0.30157739999999994,3009,4187,491738,13704,58,Submitted,11,0.23388660000000003,3003,3356,368472,10666,38,0,,,,,,,,,,,,,,,,,,,,2026-07-03T03:53:07.978468,nano_control_4/coop/llama_index_task/17244/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,236.383607,0.5607183,28,Submitted,16,0.30890940000000006,3142,3282,565918,13413,64,Submitted,12,0.2518089,3005,2974,415973,12232,61,0,,,,,,,,,,,,,,,,,,,,2026-07-03T03:54:46.604179,nano_control_4/coop/llama_index_task/18813/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_4,nano_control,4,coop_nogit,claude-sonnet-5,claude_code,coop,,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,135.462019,0.4831989,16,Submitted,9,0.31006979999999995,2999,5957,343506,18111,63,Submitted,7,0.1731291,2866,2313,228267,10226,49,0,,,,,,,,,,,,,,,,,,,,2026-07-03T03:56:35.258602,nano_control_4/coop/openai_tiktoken_task/0/f2_f6,12,agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
