run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,64.297351,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T07:35:03.856998,nano_control_5/coop/dottxt_ai_outlines_task/1371/f1_f2,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,76.449951,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:35:30.529700,nano_control_5/coop/dottxt_ai_outlines_task/1655/f8_f10,12,agent10.patch;agent10_traj.json;agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8394,f3_f5,3,5,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,165.369071,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:37:45.798056,nano_control_5/coop/dspy_task/8394/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8587,f4_f5,4,5,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,152.361398,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:37:36.680435,nano_control_5/coop/dspy_task/8587/f4_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8635,f1_f3,1,3,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,167.65149,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:40:38.904530,nano_control_5/coop/dspy_task/8635/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,huggingface_datasets_task,3997,f1_f5,1,5,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,167.635854,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:40:38.677518,nano_control_5/coop/huggingface_datasets_task/3997/f1_f5,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17070,f1_f3,1,3,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,166.136846,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:43:43.453975,nano_control_5/coop/llama_index_task/17070/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17244,f3_f5,3,5,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,166.807345,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:43:43.521787,nano_control_5/coop/llama_index_task/17244/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,18813,f1_f3,1,3,False,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,174.719279,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:46:09.281212,nano_control_5/coop/llama_index_task/18813/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,openai_tiktoken_task,0,f2_f6,2,6,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,164.558902,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:46:07.614136,nano_control_5/coop/openai_tiktoken_task/0/f2_f6,12,agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,pallets_click_task,2068,f1_f6,1,6,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,145.051195,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:48:19.889591,nano_control_5/coop/pallets_click_task/2068/f1_f6,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_5,nano_control,5,coop_nogit,claude-sonnet-5,claude_code,coop,,,pallets_click_task,2800,f1_f7,1,7,True,skipped,skipped,clean,naive,True,False,missing_patch,False,0,0,False,0,0,False,,,no_patch,False,,,no_patch,134.295731,0.0,2,Error,1,0.0,0,0,0,0,0,Error,1,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2026-07-03T04:48:19.257738,nano_control_5/coop/pallets_click_task/2800/f1_f7,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent7.patch;agent7_traj.json;conversation.json;eval.json;independent.json;result.json
