run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,False,0,0,,135.448809,0.5898939,23,Submitted,8,0.2705331,2997,5378,285787,15856,202,Submitted,15,0.31936079999999994,3011,4226,541046,14104,81,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:40:10.675120,nano_control_7/coop/dottxt_ai_outlines_task/1371/f1_f2,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,False,0,0,,86.845079,0.2975694,14,Submitted,6,0.12489059999999999,2864,1048,187862,7370,11,Submitted,8,0.1726788,2997,2091,263116,8898,11,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:39:09.467822,nano_control_7/coop/dottxt_ai_outlines_task/1655/f8_f10,12,agent10.patch;agent10_traj.json;agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,False,11,1,,565.018572,1.1059934999999999,39,Submitted,18,0.4550424,3144,7534,691508,20858,146,Submitted,21,0.6509510999999999,3888,12861,912147,28788,202,0,,,,,,,,,,,,,,,,,,,,2026-07-04T13:43:37.187015,nano_control_7/coop/dspy_task/8394/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,655.798372,1.4576403,43,Submitted,13,0.3581841,3007,5511,510727,18880,88,Submitted,30,1.0994561999999999,3722,14449,1523524,69083,149,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:41:56.177342,nano_control_7/coop/dspy_task/8587/f4_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,195.821675,0.6718265999999999,29,Submitted,17,0.4262259,3144,5231,699343,21421,134,Submitted,12,0.24560069999999998,3005,3288,402779,11072,65,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:43:40.463003,nano_control_7/coop/dspy_task/8635/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,26,0,,True,27,0,,179.993093,0.6688481999999999,31,Submitted,18,0.4182593999999999,3146,6076,671398,19377,81,Submitted,13,0.2505888,3007,3567,432536,9717,25,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:44:44.011137,nano_control_7/coop/huggingface_datasets_task/3997/f1_f5,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,204.260215,0.5306772,17,Submitted,10,0.27179760000000003,3001,2967,377692,17497,19,Submitted,7,0.2588796,2866,4393,263882,17537,68,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:45:36.909324,nano_control_7/coop/llama_index_task/17070/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,224.083319,0.8039846999999998,34,Submitted,23,0.5696951999999998,3156,7535,971774,25945,56,Submitted,11,0.23428949999999996,3003,3367,370825,10588,36,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:47:38.344286,nano_control_7/coop/llama_index_task/17244/f3_f5,12,agent1_session.jsonl;agent1_stream.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,196.876705,0.5979093,29,Submitted,17,0.33876779999999995,3144,3853,608156,14849,64,Submitted,12,0.2591415,3005,3234,413675,12919,63,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:49:25.565014,nano_control_7/coop/llama_index_task/18813/f1_f3,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,140.003719,0.4819557,14,Submitted,8,0.2908866,2997,6048,289452,17390,65,Submitted,6,0.1910691,2864,2219,212547,14238,48,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:50:45.146613,nano_control_7/coop/openai_tiktoken_task/0/f2_f6,12,agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
nano_control_7,nano_control,7,coop_nogit,claude-sonnet-5,claude_code,coop,,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,68,0,,True,72,0,,296.771275,0.8709108,41,Submitted,27,0.5103399000000001,3289,6171,980013,18984,120,Submitted,14,0.3605708999999999,3009,6268,509853,17428,138,0,,,,,,,,,,,,,,,,,,,,2026-07-03T10:53:10.592912,nano_control_7/coop/pallets_click_task/2068/f1_f6,12,agent1.patch;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
