run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,14,0,True,20,0,False,0,0,,True,20,0,,300.242967,1.8475029,74,Submitted,39,0.9673095000000002,76,12289,1936355,33640,250,Submitted,35,0.8801933999999999,68,11483,1687728,33571,253,8,4,1516,4,1471,,,,,,,,,,,,,,,,2026-07-07T16:11:04.965463,nano_free_git_2/coop/dottxt_ai_outlines_task/1371/f1_f2,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,88,0,True,80,0,False,0,0,,False,0,0,,169.876568,0.6341919,40,Submitted,21,0.31826790000000005,40,3180,734533,8348,14,Submitted,19,0.31592400000000004,38,3644,706000,8225,14,6,3,654,3,566,,,,,,,,,,,,,,,,2026-07-07T16:10:04.728114,nano_free_git_2/coop/dottxt_ai_outlines_task/1655/f8_f10,13,agent10.patch;agent10_traj.json;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8394,f3_f5,3,5,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,10,0,True,15,0,True,10,0,,True,15,0,,933.951753,2.471715299999999,91,Submitted,41,0.8817936,80,8677,1872462,31610,267,Submitted,50,1.5899216999999992,98,19100,3219599,56208,267,5,3,724,2,677,,,,,,,,,,,,,,,,2026-07-07T16:20:08.276967,nano_free_git_2/coop/dspy_task/8394/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8587,f4_f5,4,5,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,21,0,True,22,0,True,21,0,,True,22,0,,682.325552,2.4060972000000005,78,Submitted,40,0.9579999000000001,76,11235,1925323,35275,186,Submitted,38,1.4480973000000004,74,26471,2331141,58578,186,5,3,859,2,588,,,,,,,,,,,,,,,,2026-07-07T16:13:16.858324,nano_free_git_2/coop/dspy_task/8587/f4_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,235.587695,1.4539712999999999,58,Submitted,27,0.6953579999999999,44,9189,1149590,35419,188,Submitted,31,0.7586132999999999,58,7057,1497761,33876,188,5,2,552,3,785,,,,,,,,,,,,,,,,2026-07-07T16:18:15.969219,nano_free_git_2/coop/dspy_task/8635/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,26,0,True,27,0,True,26,0,,True,27,0,,442.656679,1.7465081999999996,73,Submitted,39,1.0088447999999997,76,13524,2003036,34141,114,Submitted,34,0.7376633999999999,66,10430,1456038,24034,114,6,3,827,3,538,,,,,,,,,,,,,,,,2026-07-07T16:22:17.854112,nano_free_git_2/coop/huggingface_datasets_task/3997/f1_f5,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,43,0,True,44,0,True,43,0,,True,44,0,,441.88642,1.9307781000000002,77,Submitted,32,0.8258907,64,9409,1635359,32326,69,Submitted,45,1.1048874000000002,90,12424,2318598,37113,69,7,4,2138,3,1359,,,,,,,,,,,,,,,,2026-07-07T16:25:16.798009,nano_free_git_2/coop/llama_index_task/17070/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,13,0,True,13,0,True,13,0,,True,13,0,,405.508439,1.2011493000000002,57,Submitted,26,0.5553144000000001,52,6564,1113908,20421,78,Submitted,31,0.6458349000000001,60,9117,1281533,20740,78,5,3,891,2,403,,,,,,,,,,,,,,,,2026-07-07T16:28:35.328648,nano_free_git_2/coop/llama_index_task/17244/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,identical,skip-merge-identical,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,352.026773,1.1403858,56,Submitted,27,0.6227532,52,9590,1127184,23432,104,Submitted,29,0.5176326,56,5328,1126922,16578,104,4,2,418,2,434,,,,,,,,,,,,,,,,2026-07-07T16:30:07.459424,nano_free_git_2/coop/llama_index_task/18813/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,1,0,True,1,0,True,1,0,,True,1,0,,266.253891,1.2599517,48,Submitted,23,0.664704,44,8946,1102040,33295,87,Submitted,25,0.5952477,48,6401,1081269,29118,87,7,3,683,4,1190,,,,,,,,,,,,,,,,2026-07-07T16:33:26.711699,nano_free_git_2/coop/openai_tiktoken_task/0/f2_f6,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
nano_free_git_2,nano_free_git,2,coop_git,claude-sonnet-5,claude_code,coop,free,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,68,0,True,72,0,True,68,0,,True,72,0,,283.79582,2.2510311,81,Submitted,38,1.0728744,74,10717,2173438,43311,174,Submitted,43,1.1781567000000002,84,12114,2474569,42304,174,6,3,1006,3,1345,,,,,,,,,,,,,,,,2026-07-07T16:33:53.348474,nano_free_git_2/coop/pallets_click_task/2068/f1_f6,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
