run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,14,0,True,20,0,True,14,0,,True,20,0,,395.474259,2.1852840000000002,69,Submitted,35,0.8975760000000002,70,12409,1663550,35361,281,Submitted,34,1.287708,66,19584,1868086,54294,282,5,3,1058,2,511,,,,,,,,,,,,,,,,2026-07-07T17:14:32.458229,nano_free_git_3/coop/dottxt_ai_outlines_task/1371/f1_f2,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,identical,skip-merge-identical,True,False,functional_fail,False,86,2,True,80,0,False,86,2,,True,80,0,,207.624583,0.7604123999999999,36,Submitted,16,0.3124167,30,2885,535659,18059,18,Submitted,20,0.44799569999999994,40,4818,778399,23681,18,4,2,327,2,441,,,,,,,,,,,,,,,,2026-07-07T17:12:26.673255,nano_free_git_3/coop/dottxt_ai_outlines_task/1655/f8_f10,13,agent10.patch;agent10_traj.json;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,10,0,True,15,0,True,10,0,,True,15,0,,710.397796,2.8364121000000004,95,Submitted,47,1.3894031999999998,82,14603,2699214,60058,255,Submitted,48,1.4470089000000006,94,19760,2789003,52271,255,4,2,450,2,650,,,,,,,,,,,,,,,,2026-07-07T17:19:14.142108,nano_free_git_3/coop/dspy_task/8394/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8587,f4_f5,4,5,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,21,0,True,22,0,True,21,0,,True,22,0,,589.860675,2.8307054999999997,82,Submitted,46,1.6945676999999997,88,14739,2413684,81446,216,Submitted,36,1.1361378,70,15264,2012646,50529,216,8,4,1373,4,1583,,,,,,,,,,,,,,,,2026-07-07T17:18:29.215566,nano_free_git_3/coop/dspy_task/8587/f4_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,7,0,True,13,0,True,7,0,,True,13,0,,330.680041,1.7364950999999995,63,Submitted,32,0.9850070999999997,62,9405,1706887,55280,186,Submitted,31,0.7514879999999999,58,7560,1345140,39062,186,6,3,1158,3,744,,,,,,,,,,,,,,,,2026-07-07T17:22:15.814718,nano_free_git_3/coop/dspy_task/8635/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,identical,skip-merge-identical,True,False,functional_fail,False,25,1,True,27,0,False,25,1,,True,27,0,,253.205594,1.2141804,53,Submitted,28,0.6174417,54,8294,1187699,22760,92,Submitted,25,0.5967387000000002,48,10028,1019229,23401,92,6,3,966,3,843,,,,,,,,,,,,,,,,2026-07-07T17:21:24.842350,nano_free_git_3/coop/huggingface_datasets_task/3997/f1_f5,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,43,0,True,44,0,True,43,0,,True,44,0,,276.550283,1.3983348,52,Submitted,26,0.7189008000000001,52,6778,1260276,39832,71,Submitted,26,0.6794339999999999,50,7441,1223870,33418,71,4,2,552,2,437,,,,,,,,,,,,,,,,2026-07-07T17:25:59.908171,nano_free_git_3/coop/llama_index_task/17070/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,13,0,True,13,0,True,13,0,,True,13,0,,291.346662,1.3208924999999998,63,Submitted,37,0.7248243,68,9122,1506521,22639,73,Submitted,26,0.5960681999999999,50,8640,1104674,22486,74,4,2,678,2,428,,,,,,,,,,,,,,,,2026-07-07T17:25:59.763088,nano_free_git_3/coop/llama_index_task/17244/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,identical,skip-merge-identical,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,376.15783,1.0962251999999997,52,Submitted,30,0.6129041999999999,58,6095,1212364,26266,96,Submitted,22,0.48332099999999983,42,4517,878660,25307,96,4,2,434,2,479,,,,,,,,,,,,,,,,2026-07-07T17:31:36.666853,nano_free_git_3/coop/llama_index_task/18813/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,1,0,True,1,0,True,1,0,,True,1,0,,336.68123,1.2169941000000002,48,Submitted,23,0.6359295,42,10134,1041285,28568,88,Submitted,25,0.5810646000000002,48,6440,1115762,24932,88,6,3,715,3,721,,,,,,,,,,,,,,,,2026-07-07T17:31:47.253017,nano_free_git_3/coop/openai_tiktoken_task/0/f2_f6,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
nano_free_git_3,nano_free_git,3,coop_git,claude-sonnet-5,claude_code,coop,free,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,68,0,True,72,0,True,68,0,,True,72,0,,281.856847,2.5251057,94,Submitted,52,1.2233604,100,13287,2532458,44003,211,Submitted,42,1.3017453,82,15831,2513041,51687,211,7,4,1090,3,711,,,,,,,,,,,,,,,,2026-07-07T17:35:41.632961,nano_free_git_3/coop/pallets_click_task/2068/f1_f6,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
