run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,14,0,True,20,0,False,0,0,,True,20,0,,268.292195,1.4666118000000001,60,Submitted,22,0.5370809999999999,42,8674,896490,22983,248,Submitted,38,0.9295308000000002,76,10075,1934886,32952,248,4,2,790,2,557,,,,,,,,,,,,,,,,2026-07-07T19:12:24.427227,nano_free_git_5/coop/dottxt_ai_outlines_task/1371/f1_f2,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,True,80,0,,174.353354,0.6770420999999999,41,Submitted,22,0.35348879999999994,42,3805,795746,9594,18,Submitted,19,0.32355329999999993,36,4403,678141,8993,18,5,2,347,3,735,,,,,,,,,,,,,,,,2026-07-07T19:10:54.814119,nano_free_git_5/coop/dottxt_ai_outlines_task/1655/f8_f10,13,agent10.patch;agent10_traj.json;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,10,0,True,15,0,True,10,0,,True,15,0,,808.258198,3.3503037,95,Submitted,50,1.6015263000000004,96,20955,3134951,57738,272,Submitted,45,1.7487773999999996,217,17358,2694828,113218,272,6,3,1199,3,1461,,,,,,,,,,,,,,,,2026-07-07T19:17:00.711151,nano_free_git_5/coop/dspy_task/8394/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,21,0,True,22,0,True,21,0,,True,22,0,,932.757547,3.5826327000000013,98,Submitted,41,1.1079819000000002,78,11306,2275473,42586,218,Submitted,57,2.474650800000001,112,33518,4198996,118641,218,5,3,838,2,530,,,,,,,,,,,,,,,,2026-07-07T19:19:06.667944,nano_free_git_5/coop/dspy_task/8587/f4_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,dspy_task,8635,f1_f3,1,3,True,applied,applied,identical,skip-merge-identical,True,False,functional_fail,True,7,0,False,4,1,True,7,0,,False,4,1,,259.871907,1.1181672,52,Submitted,27,0.5505456,44,7164,1038432,21904,189,Submitted,25,0.5676216000000001,50,5960,1081052,25626,189,4,2,808,2,758,,,,,,,,,,,,,,,,2026-07-07T19:19:59.923120,nano_free_git_5/coop/dspy_task/8635/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,26,0,True,27,0,True,26,0,,True,27,0,,324.866631,1.7385449999999998,74,Submitted,37,0.9092118,72,11996,1735786,34720,125,Submitted,37,0.8293331999999999,72,9985,1676214,29413,125,6,3,1815,3,1086,,,,,,,,,,,,,,,,2026-07-07T19:23:52.515483,nano_free_git_5/coop/huggingface_datasets_task/3997/f1_f5,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,identical,skip-merge-identical,True,True,pass,True,43,0,True,44,0,True,43,0,,True,44,0,,402.069962,1.8718518,74,Submitted,33,0.8257511999999999,66,6995,1717334,34238,71,Submitted,41,1.0461006,80,12276,2127062,37267,71,4,2,674,2,758,,,,,,,,,,,,,,,,2026-07-07T19:24:51.464403,nano_free_git_5/coop/llama_index_task/17070/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,13,0,True,13,0,True,13,0,,True,13,0,,295.782512,1.4797104,67,Submitted,38,0.8240520000000002,74,10505,1691650,26460,71,Submitted,29,0.6556584,56,10753,1178678,23432,70,6,3,755,3,650,,,,,,,,,,,,,,,,2026-07-07T19:28:38.437160,nano_free_git_5/coop/llama_index_task/17244/f3_f5,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,identical,skip-merge-identical,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,223.289035,0.7159475999999999,36,Submitted,20,0.3421331999999999,38,3688,710684,12249,93,Submitted,16,0.3738144,32,4112,647028,19655,93,4,2,449,2,375,,,,,,,,,,,,,,,,2026-07-07T19:29:03.161653,nano_free_git_5/coop/llama_index_task/18813/f1_f3,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,1,0,True,1,0,True,1,0,,True,1,0,,396.931385,1.3852365,53,Submitted,29,0.8128239000000002,56,10298,1398093,39793,114,Submitted,24,0.5724125999999999,44,6313,1010952,29050,114,5,3,723,2,381,,,,,,,,,,,,,,,,2026-07-07T19:34:44.533106,nano_free_git_5/coop/openai_tiktoken_task/0/f2_f6,13,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
nano_free_git_5,nano_free_git,5,coop_git,claude-sonnet-5,claude_code,coop,free,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,solo-agent1,False,True,solo_rescue,True,68,0,True,72,0,True,68,0,,True,72,0,,519.23126,4.1676192,128,Submitted,51,1.4326620000000003,100,13344,3045540,53090,210,Submitted,77,2.7349571999999998,152,26188,6083264,86117,212,6,3,928,3,1159,,,,,,,,,,,,,,,,2026-07-07T19:36:43.949126,nano_free_git_5/coop/pallets_click_task/2068/f1_f6,13,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;result.json
