run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1371,f1_f2,1,2,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,False,0,0,,190.246824,1.1528496,44,Submitted,16,0.4783233,3140,7894,602911,28270,211,Submitted,28,0.6745262999999999,3293,8174,1203511,30164,82,5,2,1030,3,1238,,,,,,,,,,,,,,,,2026-07-03T00:05:56.120367,nano_msg_1/coop/dottxt_ai_outlines_task/1371/f1_f2,14,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dottxt_ai_outlines_task,1655,f8_f10,8,10,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,False,0,0,,False,0,0,,111.052851,0.37869329999999995,19,Submitted,7,0.125739,2862,1321,158760,8285,11,Submitted,12,0.25295429999999997,3003,2596,372331,15551,11,3,1,152,2,495,,,,,,,,,,,,,,,,2026-07-03T00:04:36.373130,nano_msg_1/coop/dottxt_ai_outlines_task/1655/f8_f10,14,agent10.patch;agent10_traj.json;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent8.patch;agent8_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8394,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,10,0,,True,15,0,,850.815104,1.8985298999999998,71,Submitted,38,0.8175236999999999,7484,11802,1441099,30952,130,Submitted,33,1.0810062,3476,19020,1641514,48804,185,5,3,1787,2,1211,,,,,,,,,,,,,,,,2026-07-03T00:10:10.961496,nano_msg_1/coop/dspy_task/8394/f3_f5,14,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8587,f4_f5,4,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,21,0,,True,22,0,,741.626701,1.7321366999999999,59,Submitted,29,0.8340599999999997,3799,9872,1232510,50805,80,Submitted,30,0.8980767000000003,3737,15975,1394009,38173,142,4,2,1423,2,1301,,,,,,,,,,,,,,,,2026-07-03T00:07:22.426660,nano_msg_1/coop/dspy_task/8587/f4_f5,14,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent4.patch;agent4_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,dspy_task,8635,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,7,0,,False,4,1,,272.207569,1.0472732999999999,41,Submitted,24,0.7041021,3285,8314,1077617,41042,130,Submitted,17,0.3431711999999999,3138,4724,492564,19188,63,4,2,947,2,572,,,,,,,,,,,,,,,,2026-07-03T00:12:17.444632,nano_msg_1/coop/dspy_task/8635/f1_f3,14,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,huggingface_datasets_task,3997,f1_f5,1,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,26,0,,True,27,0,,245.340484,0.9829335000000001,42,Submitted,20,0.5173308,3148,8022,759576,26614,97,Submitted,22,0.4656027000000001,3150,7332,723129,21539,28,6,3,1472,3,1739,,,,,,,,,,,,,,,,2026-07-03T00:12:17.300518,nano_msg_1/coop/huggingface_datasets_task/3997/f1_f5,14,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17070,f1_f3,1,3,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,43,0,,True,44,0,,222.317914,0.8339030999999999,27,Submitted,12,0.33481649999999996,3005,2924,456265,24177,19,Submitted,15,0.4990866,3009,8563,597142,30412,80,5,2,265,3,832,,,,,,,,,,,,,,,,2026-07-03T00:15:46.189871,nano_msg_1/coop/llama_index_task/17070/f1_f3,14,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,17244,f3_f5,3,5,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,13,0,,True,13,0,,193.068461,0.7340451,36,Submitted,20,0.4164198,3150,5562,739266,16960,53,Submitted,16,0.3176253,3140,3427,514361,17082,32,4,2,661,2,645,,,,,,,,,,,,,,,,2026-07-03T00:14:26.256447,nano_msg_1/coop/llama_index_task/17244/f3_f5,14,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;agent5.patch;agent5_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,llama_index_task,18813,f1_f3,1,3,False,applied,applied,clean,naive,True,True,pass,True,21,0,True,23,0,True,21,0,,True,23,0,,199.911745,0.8403171,35,Submitted,21,0.514938,3148,5732,813300,29254,64,Submitted,14,0.3253791,3007,3955,460777,19800,61,4,2,422,2,539,,,,,,,,,,,,,,,,2026-07-03T00:18:07.948820,nano_msg_1/coop/llama_index_task/18813/f1_f3,14,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent3.patch;agent3_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,openai_tiktoken_task,0,f2_f6,2,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,1,0,,True,1,0,,228.611567,0.7633116000000001,24,Submitted,13,0.4564524,3134,8278,506488,28489,56,Submitted,11,0.3068592000000001,3001,3602,377934,21741,50,4,2,1009,2,478,,,,,,,,,,,,,,,,2026-07-03T00:19:23.683279,nano_msg_1/coop/openai_tiktoken_task/0/f2_f6,14,agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent2.patch;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent2_traj.json;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
nano_msg_1,nano_msg,1,coop_nogit,claude-sonnet-5,claude_code,coop,,,pallets_click_task,2068,f1_f6,1,6,True,applied,applied,conflicts,naive,False,False,textual_conflict,False,0,0,False,0,0,True,68,0,,True,72,0,,208.813037,1.5621567,53,Submitted,31,0.7662039,3428,7628,1439993,34917,118,Submitted,22,0.7959528,3279,10583,1140396,47542,133,5,2,667,3,1093,,,,,,,,,,,,,,,,2026-07-03T00:21:06.938976,nano_msg_1/coop/pallets_click_task/2068/f1_f6,14,agent1.patch;agent1_sent.jsonl;agent1_session.jsonl;agent1_stream.jsonl;agent1_traj.json;agent2_sent.jsonl;agent2_session.jsonl;agent2_stream.jsonl;agent6.patch;agent6_traj.json;conversation.json;eval.json;independent.json;result.json
