run_name,arm,repeat,arm_family,model,agent_framework,setting,messaging_mode,message_schema,repo,task_id,pair,feature_a,feature_b,in_validated_set,apply_a,apply_b,merge_status,merge_strategy,merge_clean,both_passed,outcome,a_merged_passed,a_merged_tests_passed,a_merged_tests_failed,b_merged_passed,b_merged_tests_passed,b_merged_tests_failed,a_indep_passed,a_indep_tests_passed,a_indep_tests_failed,a_indep_reason,b_indep_passed,b_indep_tests_passed,b_indep_tests_failed,b_indep_reason,duration_s,total_cost,total_steps,a_status,a_steps,a_cost,a_input_tokens,a_output_tokens,a_cache_read_tokens,a_cache_write_tokens,a_patch_lines,b_status,b_steps,b_cost,b_input_tokens,b_output_tokens,b_cache_read_tokens,b_cache_write_tokens,b_patch_lines,messages_sent,a_msgs_sent,a_msg_chars,b_msgs_sent,b_msg_chars,msgs_ACCEPT,msgs_AGREE,msgs_ANSWER,msgs_CLAIM,msgs_DEFER,msgs_DONE,msgs_DRAFT,msgs_INTENT,msgs_PROPOSE,msgs_QUESTION,msgs_REVISE,msgs_SPEC,msgs_STATUS,msgs_SURVEY,error,evaluated_at,pair_dir,n_files,files
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1655,f2_f6,2,6,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,90.28079,0.1553727,6,Submitted,6,0.1553727,2864,2148,194949,9346,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:23:24.958531,nano_pool3_solo_1/solo/dottxt_ai_outlines_task/1655/f2_f6,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1655,f5_f6,5,6,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,88.584565,0.1788372,6,Submitted,6,0.1788372,2864,1543,189674,15033,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:23:24.940926,nano_pool3_solo_1/solo/dottxt_ai_outlines_task/1655/f5_f6,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1655,f6_f10,6,10,True,,,,,,False,missing_patch,False,,,True,,,,,,,,,,,96.886345,0.21019320000000002,7,Submitted,7,0.21019320000000002,2995,2296,230174,16286,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:23:21.438818,nano_pool3_solo_1/solo/dottxt_ai_outlines_task/1655/f6_f10,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1655,f6_f8,6,8,True,,,,,,False,missing_patch,False,,,True,,,,,,,,,,,95.265362,0.16815749999999996,7,Submitted,7,0.16815749999999996,2995,1832,233095,10294,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:23:24.957809,nano_pool3_solo_1/solo/dottxt_ai_outlines_task/1655/f6_f8,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1706,f2_f4,2,4,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,132.071757,0.3799203,12,Submitted,12,0.3799203,3005,6738,476071,21169,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:29:21.852002,nano_pool3_solo_1/solo/dottxt_ai_outlines_task/1706/f2_f4,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1706,f3_f4,3,4,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,188.346942,0.3223467,11,Submitted,11,0.3223467,3003,5195,420189,18226,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:29:27.035738,nano_pool3_solo_1/solo/dottxt_ai_outlines_task/1706/f3_f4,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1706,f3_f6,3,6,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,112.936207,0.2237841,7,Submitted,7,0.2237841,2995,3550,245837,14633,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:29:27.457565,nano_pool3_solo_1/solo/dottxt_ai_outlines_task/1706/f3_f6,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dottxt_ai_outlines_task,1706,f4_f6,4,6,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,134.368188,0.3365589,12,Submitted,12,0.3365589,3005,5252,459133,18504,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:29:25.463340,nano_pool3_solo_1/solo/dottxt_ai_outlines_task/1706/f4_f6,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,dspy_task,8563,f2_f5,2,5,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,756.450037,1.4938692000000002,35,Submitted,35,1.4938692000000002,3438,32519,2130414,59441,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:29:07.954551,nano_pool3_solo_1/solo/dspy_task/8563/f2_f5,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,3997,f2_f3,2,3,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,120.26347,0,0,Error,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:26:27.435484,nano_pool3_solo_1/solo/huggingface_datasets_task/3997/f2_f3,4,eval.json;result.json;solo.patch;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,3997,f2_f5,2,5,True,,,,,,,,,,,,,,,,,,,,,,377.426517,0.4559061,17,Submitted,17,0.4559061,3144,9189,639077,19486,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_eval,,nano_pool3_solo_1/solo/huggingface_datasets_task/3997/f2_f5,5,result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,3997,f3_f5,3,5,True,,,,,,,,,,,,,,,,,,,,,,385.210497,1.1569346999999999,40,Submitted,40,1.1569346999999999,3448,20207,1955959,42783,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_eval,,nano_pool3_solo_1/solo/huggingface_datasets_task/3997/f3_f5,5,result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,3997,f4_f5,4,5,True,,,,,,,,,,,,,,,,,,,,,,218.366868,0.25175519999999996,11,Submitted,11,0.25175519999999996,3003,3663,381324,12234,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_eval,,nano_pool3_solo_1/solo/huggingface_datasets_task/3997/f4_f5,5,result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,6252,f1_f2,1,2,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,665.213766,0.31934819999999997,14,Submitted,14,0.31934819999999997,4071,3231,534774,16373,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:25:24.934694,nano_pool3_solo_1/solo/huggingface_datasets_task/6252/f1_f2,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,6252,f1_f6,1,6,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,120.257228,0,0,Error,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:26:26.366611,nano_pool3_solo_1/solo/huggingface_datasets_task/6252/f1_f6,4,eval.json;result.json;solo.patch;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,6252,f3_f4,3,4,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,120.645281,0,0,Error,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:11:38.172581,nano_pool3_solo_1/solo/huggingface_datasets_task/6252/f3_f4,4,eval.json;result.json;solo.patch;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,huggingface_datasets_task,6252,f3_f5,3,5,True,,,,,,False,missing_patch,False,,,False,,,,,,,,,,,694.39265,0.33133589999999996,14,Submitted,14,0.33133589999999996,4306,3560,537693,17285,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:25:25.917395,nano_pool3_solo_1/solo/huggingface_datasets_task/6252/f3_f5,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,pillow_task,290,f3_f4,3,4,True,,,,,,True,missing_patch,True,,,True,,,,,,,,,,,713.532817,1.0711944000000002,36,Submitted,36,1.0711944000000002,3440,18194,1784488,42103,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T21:23:44.003970,nano_pool3_solo_1/solo/pillow_task/290/f3_f4,6,eval.json;result.json;solo.patch;solo_session.jsonl;solo_stream.jsonl;solo_traj.json
nano_pool3_solo_1,nano_pool3_solo,1,solo,claude-sonnet-5,claude_code,solo,,,pillow_task,290,f3_f5,3,5,True,,,,,,,,,,,,,,,,,,,,,,120.106722,0,0,Error,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_eval,,nano_pool3_solo_1/solo/pillow_task/290/f3_f5,3,result.json;solo.patch;solo_traj.json
