run_name,arm,repeat,arm_family,model,setting,messaging_mode,message_schema,n_rows,n_evals,n_both_passed,n_merge_clean,n_conflicts,n_errors,total_cost,started_at,completed_at,csv
nano_coauthor_1,nano_coauthor,1,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'coauthor_overlap_v1', 'instructions': 'Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER OVERLAPPING CONSTRUCTS (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file YOUR feature must edit, and in\n   `note` name the specific construct(s) — function/class/import block — you must\n   change (e.g. ""the `encode()` method"").\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Identify OVERLAPPING constructs: any function/class/block you BOTH must edit.\n\nPHASE 2 — CO-AUTHOR THE OVERLAP (still NO editing):\n4. For EACH overlapping construct, jointly write the FULL merged version of it — one\n   implementation that carries BOTH features\' behaviour at once (e.g. the whole\n   `encode()` method with BOTH new parameters AND both new code paths). Send a DRAFT:\n   `region` = which construct, `code` = the complete verbatim source of the merged\n   construct.\n5. `coop-await`, compare against your partner\'s DRAFT character-for-character. If they\n   differ in ANY way (order, whitespace, types, trailing commas), send a new DRAFT\n   until you converge. Then send AGREE echoing the exact `code`. You must BOTH end\n   Phase 2 holding the identical agreed text for every overlapping construct.\n\nPHASE 3 — IMPLEMENT:\n6. For every overlapping construct, write the agreed `code` VERBATIM — copy it\n   exactly, do not paraphrase, retype, or reformat it. Both of you write the same text.\n7. For any construct only YOU touch (not overlapping), implement it normally — but it\n   must not overlap your partner\'s non-shared constructs.\n8. Send DONE when finished.\n\nThe whole point: for every construct you both edit, your patch and your partner\'s\npatch contain the IDENTICAL merged code, so git merges them as identical rather than\nconflicting — and each patch already satisfies both features there.\n', 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'DRAFT', 'AGREE', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about'}, {'name': 'region', 'required': False, 'enum': None, 'description': ""which overlapping construct this DRAFT/AGREE is about (e.g. 'encode() method')""}, {'name': 'code', 'required': False, 'enum': None, 'description': ""the complete verbatim source of the merged construct — must be byte-identical to your partner's""}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the construct name(s) involved'}]}",20,20,16,16,4,0,50.3559585,2026-07-08T17:46:24.126702,2026-07-08T18:57:59.460635,nano_coauthor_1.csv
nano_coauthor_2,nano_coauthor,2,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'coauthor_overlap_v1', 'instructions': 'Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER OVERLAPPING CONSTRUCTS (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file YOUR feature must edit, and in\n   `note` name the specific construct(s) — function/class/import block — you must\n   change (e.g. ""the `encode()` method"").\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Identify OVERLAPPING constructs: any function/class/block you BOTH must edit.\n\nPHASE 2 — CO-AUTHOR THE OVERLAP (still NO editing):\n4. For EACH overlapping construct, jointly write the FULL merged version of it — one\n   implementation that carries BOTH features\' behaviour at once (e.g. the whole\n   `encode()` method with BOTH new parameters AND both new code paths). Send a DRAFT:\n   `region` = which construct, `code` = the complete verbatim source of the merged\n   construct.\n5. `coop-await`, compare against your partner\'s DRAFT character-for-character. If they\n   differ in ANY way (order, whitespace, types, trailing commas), send a new DRAFT\n   until you converge. Then send AGREE echoing the exact `code`. You must BOTH end\n   Phase 2 holding the identical agreed text for every overlapping construct.\n\nPHASE 3 — IMPLEMENT:\n6. For every overlapping construct, write the agreed `code` VERBATIM — copy it\n   exactly, do not paraphrase, retype, or reformat it. Both of you write the same text.\n7. For any construct only YOU touch (not overlapping), implement it normally — but it\n   must not overlap your partner\'s non-shared constructs.\n8. Send DONE when finished.\n\nThe whole point: for every construct you both edit, your patch and your partner\'s\npatch contain the IDENTICAL merged code, so git merges them as identical rather than\nconflicting — and each patch already satisfies both features there.\n', 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'DRAFT', 'AGREE', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about'}, {'name': 'region', 'required': False, 'enum': None, 'description': ""which overlapping construct this DRAFT/AGREE is about (e.g. 'encode() method')""}, {'name': 'code', 'required': False, 'enum': None, 'description': ""the complete verbatim source of the merged construct — must be byte-identical to your partner's""}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the construct name(s) involved'}]}",20,20,13,17,3,0,49.102398,2026-07-08T18:57:59.471507,2026-07-08T20:08:57.653044,nano_coauthor_2.csv
nano_coauthor_3,nano_coauthor,3,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'coauthor_overlap_v1', 'instructions': 'Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER OVERLAPPING CONSTRUCTS (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file YOUR feature must edit, and in\n   `note` name the specific construct(s) — function/class/import block — you must\n   change (e.g. ""the `encode()` method"").\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Identify OVERLAPPING constructs: any function/class/block you BOTH must edit.\n\nPHASE 2 — CO-AUTHOR THE OVERLAP (still NO editing):\n4. For EACH overlapping construct, jointly write the FULL merged version of it — one\n   implementation that carries BOTH features\' behaviour at once (e.g. the whole\n   `encode()` method with BOTH new parameters AND both new code paths). Send a DRAFT:\n   `region` = which construct, `code` = the complete verbatim source of the merged\n   construct.\n5. `coop-await`, compare against your partner\'s DRAFT character-for-character. If they\n   differ in ANY way (order, whitespace, types, trailing commas), send a new DRAFT\n   until you converge. Then send AGREE echoing the exact `code`. You must BOTH end\n   Phase 2 holding the identical agreed text for every overlapping construct.\n\nPHASE 3 — IMPLEMENT:\n6. For every overlapping construct, write the agreed `code` VERBATIM — copy it\n   exactly, do not paraphrase, retype, or reformat it. Both of you write the same text.\n7. For any construct only YOU touch (not overlapping), implement it normally — but it\n   must not overlap your partner\'s non-shared constructs.\n8. Send DONE when finished.\n\nThe whole point: for every construct you both edit, your patch and your partner\'s\npatch contain the IDENTICAL merged code, so git merges them as identical rather than\nconflicting — and each patch already satisfies both features there.\n', 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'DRAFT', 'AGREE', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about'}, {'name': 'region', 'required': False, 'enum': None, 'description': ""which overlapping construct this DRAFT/AGREE is about (e.g. 'encode() method')""}, {'name': 'code', 'required': False, 'enum': None, 'description': ""the complete verbatim source of the merged construct — must be byte-identical to your partner's""}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the construct name(s) involved'}]}",20,20,12,13,7,0,46.760562,2026-07-08T20:08:57.659750,2026-07-08T21:13:59.068854,nano_coauthor_3.csv
nano_coauthor_4,nano_coauthor,4,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'coauthor_overlap_v1', 'instructions': 'Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER OVERLAPPING CONSTRUCTS (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file YOUR feature must edit, and in\n   `note` name the specific construct(s) — function/class/import block — you must\n   change (e.g. ""the `encode()` method"").\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Identify OVERLAPPING constructs: any function/class/block you BOTH must edit.\n\nPHASE 2 — CO-AUTHOR THE OVERLAP (still NO editing):\n4. For EACH overlapping construct, jointly write the FULL merged version of it — one\n   implementation that carries BOTH features\' behaviour at once (e.g. the whole\n   `encode()` method with BOTH new parameters AND both new code paths). Send a DRAFT:\n   `region` = which construct, `code` = the complete verbatim source of the merged\n   construct.\n5. `coop-await`, compare against your partner\'s DRAFT character-for-character. If they\n   differ in ANY way (order, whitespace, types, trailing commas), send a new DRAFT\n   until you converge. Then send AGREE echoing the exact `code`. You must BOTH end\n   Phase 2 holding the identical agreed text for every overlapping construct.\n\nPHASE 3 — IMPLEMENT:\n6. For every overlapping construct, write the agreed `code` VERBATIM — copy it\n   exactly, do not paraphrase, retype, or reformat it. Both of you write the same text.\n7. For any construct only YOU touch (not overlapping), implement it normally — but it\n   must not overlap your partner\'s non-shared constructs.\n8. Send DONE when finished.\n\nThe whole point: for every construct you both edit, your patch and your partner\'s\npatch contain the IDENTICAL merged code, so git merges them as identical rather than\nconflicting — and each patch already satisfies both features there.\n', 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'DRAFT', 'AGREE', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about'}, {'name': 'region', 'required': False, 'enum': None, 'description': ""which overlapping construct this DRAFT/AGREE is about (e.g. 'encode() method')""}, {'name': 'code', 'required': False, 'enum': None, 'description': ""the complete verbatim source of the merged construct — must be byte-identical to your partner's""}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the construct name(s) involved'}]}",20,20,16,16,4,0,48.6776169,2026-07-08T21:13:59.075502,2026-07-08T22:21:05.331603,nano_coauthor_4.csv
nano_coauthor_5,nano_coauthor,5,coop_nogit,claude-sonnet-5,coop,structured,"{'name': 'coauthor_overlap_v1', 'instructions': 'Coordinate in THREE STRICT PHASES. Do NOT edit any file until Phase 2 is agreed.\n\nPHASE 1 — DISCOVER OVERLAPPING CONSTRUCTS (messages only, NO editing yet):\n1. Immediately send a SURVEY: `files` = every file YOUR feature must edit, and in\n   `note` name the specific construct(s) — function/class/import block — you must\n   change (e.g. ""the `encode()` method"").\n2. Run `coop-await` — it BLOCKS until your partner replies — to read their SURVEY.\n3. Identify OVERLAPPING constructs: any function/class/block you BOTH must edit.\n\nPHASE 2 — CO-AUTHOR THE OVERLAP (still NO editing):\n4. For EACH overlapping construct, jointly write the FULL merged version of it — one\n   implementation that carries BOTH features\' behaviour at once (e.g. the whole\n   `encode()` method with BOTH new parameters AND both new code paths). Send a DRAFT:\n   `region` = which construct, `code` = the complete verbatim source of the merged\n   construct.\n5. `coop-await`, compare against your partner\'s DRAFT character-for-character. If they\n   differ in ANY way (order, whitespace, types, trailing commas), send a new DRAFT\n   until you converge. Then send AGREE echoing the exact `code`. You must BOTH end\n   Phase 2 holding the identical agreed text for every overlapping construct.\n\nPHASE 3 — IMPLEMENT:\n6. For every overlapping construct, write the agreed `code` VERBATIM — copy it\n   exactly, do not paraphrase, retype, or reformat it. Both of you write the same text.\n7. For any construct only YOU touch (not overlapping), implement it normally — but it\n   must not overlap your partner\'s non-shared constructs.\n8. Send DONE when finished.\n\nThe whole point: for every construct you both edit, your patch and your partner\'s\npatch contain the IDENTICAL merged code, so git merges them as identical rather than\nconflicting — and each patch already satisfies both features there.\n', 'fields': [{'name': 'type', 'required': True, 'enum': ['SURVEY', 'DRAFT', 'AGREE', 'DONE'], 'description': 'coordination message type'}, {'name': 'files', 'required': True, 'enum': None, 'description': 'comma-separated files this message is about'}, {'name': 'region', 'required': False, 'enum': None, 'description': ""which overlapping construct this DRAFT/AGREE is about (e.g. 'encode() method')""}, {'name': 'code', 'required': False, 'enum': None, 'description': ""the complete verbatim source of the merged construct — must be byte-identical to your partner's""}, {'name': 'note', 'required': False, 'enum': None, 'description': 'optional short rationale or the construct name(s) involved'}]}",20,19,13,16,3,1,38.68642590000001,2026-07-08T22:21:05.338409,2026-07-08T23:11:23.527035,nano_coauthor_5.csv
nano_confirm_1655,nano_confirm,1655,misc,claude-sonnet-5,solo,,,1,1,1,0,0,0,0.1293531,2026-07-02T21:44:35.927216,2026-07-02T21:50:59.540128,nano_confirm_1655.csv
nano_control_1,nano_control,1,coop_nogit,claude-sonnet-5,coop,,,20,20,2,2,18,0,19.219220700000005,2026-07-02T23:04:15.946279,2026-07-02T23:50:44.421247,nano_control_1.csv
nano_control_10,nano_control,10,coop_nogit,claude-sonnet-5,coop,,,20,20,1,12,8,0,7.4266206,2026-07-03T14:50:54.141709,2026-07-03T15:24:57.745067,nano_control_10.csv
nano_control_11,nano_control,11,coop_nogit,claude-sonnet-5,coop,,,20,20,3,3,17,0,21.0067647,2026-07-03T22:13:21.181997,2026-07-03T22:56:38.184460,nano_control_11.csv
nano_control_12,nano_control,12,coop_nogit,claude-sonnet-5,coop,,,20,20,2,2,18,0,18.3954591,2026-07-03T23:43:45.028018,2026-07-04T00:25:48.168230,nano_control_12.csv
