pool_id,repo,task_id,features,K,N,condition,trial,seed,context_tokens,task_tokens,comm_tokens,rework_tokens,buckets_recoverable,context_usd,task_usd,comm_usd,rework_usd,total_tokens,dollar_cost,total_steps,wall_seconds,agent_seconds,topology,leader_cost,leader_model,score,n_passed,best_score,git_integrated,all_passed,pass,failure_bucket,merge_status,messages_sent,message_reads,conflict_events,rework_turns,comm_sent_tokens,comm_recv_tokens,comm_reingest_tokens
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,leader,1,0,57981,1079,61568,224,True,1.0503222422135268,0.977300925603556,1.1722901223263857,0.20288730985653064,4128787,3.4028005999999995,77,715.299865,1334.0679915999644,leader,1.7185235,claude-opus-5,1.0,3,1.0,True,True,True,,,2,74,0,8,354,1830,59384
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,leader,2,0,57981,1777,13395,227,True,1.4557260353540271,2.2307524575499786,0.4141391309767799,0.2849638761192151,5611228,4.385581500000001,98,1027.862348,1702.409636589,leader,2.409790500000001,claude-opus-5,1.0,3,1.0,True,True,True,,,2,145,0,9,250,423,12722
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,leader,3,0,57981,1485,100461,107,True,0.9723560619984795,1.2451913144545128,1.72921436789271,0.08972085565429824,5075547,4.0364826,86,496.721358,990.0002200549934,leader,2.4000165,claude-opus-5,1.0,3,1.0,True,True,True,,,3,128,0,3,699,2993,96769
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,leader,4,0,57981,2329,51084,73,True,1.0972447632278528,2.203724542141106,1.128942819115241,0.06907337551580109,5896405,4.498985500000001,103,553.732151,1088.5066927459557,leader,2.819878,claude-opus-5,1.0,3,1.0,True,True,True,,,4,94,0,2,828,1092,49164
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,nocomm,1,0,34067,143,0,0,True,0.48080689439551644,0.1009120056044836,0.0,0.0,547977,0.5817189,11,158.316338,,,,,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,nocomm,2,0,34067,256,0,0,True,0.5665490312202616,0.21286956877973845,0.0,0.0,913945,0.7794186,16,276.359237,,,,,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,nocomm,3,0,34067,201,0,0,True,0.44431616604710195,0.13107633395289794,0.0,0.0,875518,0.5753924999999999,18,159.657646,,,,,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,1,nocomm,4,0,34067,436,0,0,True,0.6991907982279342,0.44742300177206573,0.0,0.0,1421925,1.1466138,23,332.881327,,,,,1.0,3,1.0,False,True,True,,,0,0,0,0,0,0,0
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,2,comm,1,0,67323,934,9447,133,True,1.2912107650055795,0.8956752183616381,0.19495799988535442,0.12754261674742814,4727762,2.5093866,85,330.775061,,,,,1.0,3,1.0,True,True,True,,,6,163,0,5,632,709,8106
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,2,comm,2,0,67323,1191,26828,174,True,0.9980494017931746,0.8828163016618917,0.406703315193826,0.1289756813511076,5075584,2.4165446999999998,88,348.525064,,,,,1.0,3,1.0,True,True,True,,,7,166,0,10,694,1051,25083
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,2,comm,3,0,67323,490,15249,191,True,1.1586807228990448,0.4216638847203273,0.2737717311937243,0.16436286118690308,3299779,2.0184791999999994,61,349.785209,,,,,1.0,3,1.0,True,True,True,,,6,97,0,6,792,1177,13280
dottxt_ai_outlines_task/task1371/f1_f2_f3,dottxt_ai_outlines_task,1371,1_2_3,3,2,comm,4,0,67323,569,10674,230,True,1.0038126574831456,0.42420079475655414,0.1920011822172284,0.1714695655430711,3027208,1.7914841999999993,56,356.86533,,,,,1.0,3,1.0,True,True,True,,,4,114,0,7,397,738,9539
