# repo_task	task	image_tag	registry_archs	action	base
dottxt_ai_outlines_task/task1371	task1371	akhatua/cooperbench-dottxt-ai-outlines:task1371	amd64,arm64	pull	python:3.11-slim
dottxt_ai_outlines_task/task1655	task1655	akhatua/cooperbench-dottxt-ai-outlines:task1655	arm64	build	python:3.11-slim
dottxt_ai_outlines_task/task1706	task1706	akhatua/cooperbench-dottxt-ai-outlines:task1706	arm64	build	python:3.11-slim
dspy_task/task8394	task8394	akhatua/cooperbench-dspy:task8394	arm64	build	python:3.11-slim
dspy_task/task8563	task8563	akhatua/cooperbench-dspy:task8563	amd64,arm64	pull	python:3.11-slim
dspy_task/task8587	task8587	akhatua/cooperbench-dspy:task8587	arm64	build	python:3.11-slim
dspy_task/task8635	task8635	akhatua/cooperbench-dspy:task8635	arm64	build	python:3.11-slim
go_chi_task/task26	task26	akhatua/cooperbench-go-chi:task26	amd64,arm64	pull	golang:1.21-alpine
go_chi_task/task27	task27	akhatua/cooperbench-go-chi:task27	arm64	build	golang:1.21-alpine
go_chi_task/task56	task56	akhatua/cooperbench-go-chi:task56	amd64,arm64	pull	golang:1.21-alpine
huggingface_datasets_task/task3997	task3997	akhatua/cooperbench-huggingface-datasets:task3997	arm64	build	python:3.12-slim
huggingface_datasets_task/task6252	task6252	akhatua/cooperbench-huggingface-datasets:task6252	arm64	build	python:3.12-slim
huggingface_datasets_task/task7309	task7309	akhatua/cooperbench-huggingface-datasets:task7309	amd64,arm64	pull	python:3.12-slim
llama_index_task/task17070	task17070	akhatua/cooperbench-llama-index:task17070	amd64,arm64	pull	python:3.10-slim
llama_index_task/task17244	task17244	akhatua/cooperbench-llama-index:task17244	amd64,arm64	pull	python:3.10-slim
llama_index_task/task18813	task18813	akhatua/cooperbench-llama-index:task18813	arm64	build	python:3.10-slim
openai_tiktoken_task/task0	task0	akhatua/cooperbench-openai-tiktoken:task0	arm64	build	python:3.11-slim
pallets_click_task/task2068	task2068	akhatua/cooperbench-pallets-click:task2068	amd64,arm64	pull	python:3.11-slim
pallets_click_task/task2800	task2800	akhatua/cooperbench-pallets-click:task2800	arm64	build	python:3.11-slim
pallets_click_task/task2956	task2956	akhatua/cooperbench-pallets-click:task2956	amd64,arm64	pull	python:3.11-slim
pallets_jinja_task/task1465	task1465	akhatua/cooperbench-pallets-jinja:task1465	amd64,arm64	pull	python:3.11-slim
pallets_jinja_task/task1559	task1559	akhatua/cooperbench-pallets-jinja:task1559	arm64	build	python:3.11-slim
pallets_jinja_task/task1621	task1621	akhatua/cooperbench-pallets-jinja:task1621	arm64	build	python:3.11-slim
pillow_task/task25	task25	akhatua/cooperbench-pillow:task25	amd64,arm64	pull	python:3.11-slim
pillow_task/task290	task290	akhatua/cooperbench-pillow:task290	amd64,arm64	pull	python:3.11-slim
pillow_task/task68	task68	akhatua/cooperbench-pillow:task68	amd64,arm64	pull	python:3.11-slim
react_hook_form_task/task153	task153	akhatua/cooperbench-react-hook-form:task153	amd64	pull	node:22-slim
react_hook_form_task/task85	task85	akhatua/cooperbench-react-hook-form:task85	amd64	pull	node:22-slim
samuelcolvin_dirty_equals_task/task43	task43	akhatua/cooperbench-samuelcolvin-dirty-equals:task43	amd64,arm64	pull	python:3.11-slim
typst_task/task6554	task6554	akhatua/cooperbench-typst:task6554	arm64	build	rust:1.80-slim
